x,y
144.08431367781077,1416.4009814804542
144.08312068214173,1416.900980029339
144.08194832375443,1417.4009786269608
144.08077596536714,1417.9009772245824
144.07960360697984,1418.4009758222041
144.07843124859255,1418.9009744198258
144.07725889020526,1419.4009730174475
144.07608653181796,1419.9009716150692
144.07494142245332,1420.400970302502
144.07379631308868,1420.9009689899347
144.07265120372404,1421.4009676773674
144.0715060943594,1421.9009663648
144.0709586586454,1422.1399978031404
144.0739820349629,1422.6399886622526
144.07700541128042,1423.1399795213647
144.07985055354118,1423.6399713259243
144.08269569580193,1424.139963130484
144.08554083806268,1424.6399549350435
144.08838598032344,1425.1399467396031
144.0912311225842,1425.6399385441628
144.09407626484494,1426.1399303487224
144.09630804040637,1426.639925325361
144.0985398159678,1427.1399203019996
144.10077159152922,1427.6399152786382
144.10300336709065,1428.1399102552768
144.10523514265208,1428.6399052319155
144.1022680236274,1429.139866088507
144.09930090460273,1429.6398269450985
144.09633378557805,1430.13978780169
144.09395865822444,1430.539997802116
144.09467855202854,1431.0399641118117
144.09539844583264,1431.5399304215075
144.09422394451735,1432.0399286112563
144.09304944320206,1432.539926801005
144.09187494188677,1433.039924990754
144.090309855515,1433.5399223865436
144.0887447691432,1434.0399197823333
144.08717968277142,1434.539917178123
144.0852563122968,1435.039913002904
144.08333294182216,1435.5399088276852
144.08140957134754,1436.0399046524662
144.0794862008729,1436.5399004772473
144.07734420859356,1437.0398958433213
144.0752022163142,1437.5398912093954
144.07306022403486,1438.0398865754694
144.0709182317555,1438.5398819415434
144.06877623947616,1439.0398773076174
144.06663424719682,1439.5398726736914
144.06431959255679,1440.0398672862548
144.06200493791675,1440.5398618988181
144.05969028327672,1441.0398565113815
144.0573756286367,1441.5398511239448
144.05506097399666,1442.0398457365081
144.05274631935663,1442.5398403490715
144.05041100099766,1443.0398347958558
144.04807568263868,1443.53982924264
144.0457403642797,1444.0398236894243
144.04340504592074,1444.5398181362086
144.04106972756176,1445.039812582993
144.0387344092028,1445.5398070297772
144.03654425562013,1446.0398022317179
144.03435410203747,1446.5397974336586
144.0321639484548,1447.0397926355993
144.02997379487215,1447.53978783754
144.0277836412895,1448.0397830394807
144.02559348770683,1448.5397782414213
